Gender,PromClass,Gender_code,PromSilver,PromTin,PromGold,Affl,Age,LTime,Spend,TargetBuy
F,Tin,1,0,1,0,4,57,5,0.01,0
F,Gold,1,0,0,1,10,72,8,11105.32,0
F,Tin,1,0,1,0,7,37,5,0.01,0
F,Silver,1,1,0,0,9,76,8,2000,1
F,Tin,1,0,1,0,6,45,5,0.01,0
F,Silver,1,1,0,0,12,61,1,4000,0
M,Tin,0,0,1,0,9,47,5,0.01,0
F,Tin,1,0,1,0,5,56,9,0.01,0
F,Gold,1,0,0,1,8,51,8,9000.01,0
F,Gold,1,0,0,1,9,50,2,12000,0
F,Silver,1,1,0,0,8,41,7,1675,1
M,Silver,0,1,0,0,8,60,8,100.01,0
F,Silver,1,1,0,0,10,70,8,2250,0
F,Tin,1,0,1,0,9,50,9,0.01,1
F,Tin,1,0,1,0,15,37,8,0.01,1
F,Silver,1,1,0,0,9,74,5,3000,0
M,Gold,0,0,0,1,9,53,4,6000,0
F,Silver,1,1,0,0,7,51,10,3026.67,0
F,Platinum,1,0,0,0,5,62,7,56053.35,0
F,Silver,1,1,0,0,3,46,10,0.1,0
M,Gold,0,0,0,1,10,39,2,7500,1
M,Silver,0,1,0,0,6,53,6,3000,1
F,Silver,1,1,0,0,7,48,4,5000,0
F,Gold,1,0,0,1,7,62,11,12808.95,0
M,Silver,0,1,0,0,9,26,1,4000,0
F,Gold,1,0,0,1,6,43,2,6000,0
F,Gold,1,0,0,1,7,78,5,6000,0
F,Gold,1,0,0,1,3,67,3,12049.25,0
F,Tin,1,0,1,0,2,45,5,0.01,0
F,Gold,1,0,0,1,13,68,6,7500,0
M,Tin,0,0,1,0,5,53,8,0.01,0
M,Silver,0,1,0,0,5,51,8,420,0
F,Silver,1,1,0,0,6,51,1,200,0
M,Tin,0,0,1,0,11,36,4,0.01,0
F,Gold,1,0,0,1,8,63,2,6000,0
F,Silver,1,1,0,0,8,69,9,500,0
F,Tin,1,0,1,0,11,40,5,0.01,1
F,Silver,1,1,0,0,4,46,11,2165.75,0
F,Silver,1,1,0,0,8,46,11,2245,1
F,Tin,1,0,1,0,9,38,5,0.01,1
M,Gold,0,0,0,1,4,67,5,11000,0
F,Gold,1,0,0,1,5,53,8,9000,0
F,Silver,1,1,0,0,6,55,4,5000,1
F,Silver,1,1,0,0,9,54,8,3000,0
M,Tin,0,0,1,0,6,45,5,0.01,0
F,Silver,1,1,0,0,5,58,4,420,0
F,Tin,1,0,1,0,8,33,5,0.01,1
M,Tin,0,0,1,0,11,35,8,0.01,1
M,Gold,0,0,0,1,4,71,12,6000,0
M,Tin,0,0,1,0,10,55,4,0.01,0
M,Gold,0,0,0,1,13,53,5,6871.12,0
F,Silver,1,1,0,0,9,58,19,1500,0
M,Tin,0,0,1,0,13,43,5,0.01,0
F,Tin,1,0,1,0,8,47,5,0.01,0
M,Gold,0,0,0,1,4,74,2,6000,0
M,Silver,0,1,0,0,10,49,1,5000,0
F,Silver,1,1,0,0,9,58,9,3000,0
F,Tin,1,0,1,0,8,56,8,0.01,0
F,Gold,1,0,0,1,5,47,1,6000,0
F,Silver,1,1,0,0,14,30,1,100,1
F,Platinum,1,0,0,0,3,68,4,50000,1
F,Silver,1,1,0,0,8,45,4,1000,0
F,Gold,1,0,0,1,7,71,6,12000,0
F,Gold,1,0,0,1,10,65,8,9053.35,0
F,Gold,1,0,0,1,10,74,5,19000,0
F,Tin,1,0,1,0,10,43,5,0.01,1
F,Silver,1,1,0,0,11,44,9,500,0
M,Gold,0,0,0,1,7,46,12,17409.76,0
F,Silver,1,1,0,0,8,29,12,2000,0
F,Tin,1,0,1,0,7,53,5,0.01,1
M,Silver,0,1,0,0,9,64,12,1000,0
M,Silver,0,1,0,0,10,49,5,3000,1
F,Gold,1,0,0,1,17,59,8,12000,1
F,Tin,1,0,1,0,8,37,5,0.01,0
F,Silver,1,1,0,0,15,51,8,3000,1
F,Tin,1,0,1,0,8,47,5,0.01,0
F,Silver,1,1,0,0,18,51,3,3000,0
F,Silver,1,1,0,0,5,58,11,3050,0
M,Tin,0,0,1,0,9,46,9,0.01,0
F,Gold,1,0,0,1,4,61,1,6000,0
F,Tin,1,0,1,0,9,38,5,0.01,1
M,Gold,0,0,0,1,7,68,6,15000.01,0
F,Gold,1,0,0,1,12,76,2,6000,0
F,Tin,1,0,1,0,4,56,8,0.01,0
M,Silver,0,1,0,0,8,73,1,360,1
F,Tin,1,0,1,0,8,37,9,0.01,1
F,Silver,1,1,0,0,11,74,4,3350,0
F,Silver,1,1,0,0,5,60,2,5000,0
F,Silver,1,1,0,0,10,35,4,1500,0
F,Gold,1,0,0,1,6,46,1,6544.99,0
F,Gold,1,0,0,1,3,46,5,6000,0
F,Platinum,1,0,0,0,5,70,0,21684.94,0
M,Gold,0,0,0,1,9,37,11,10000,1
F,Silver,1,1,0,0,12,49,3,3000,0
F,Silver,1,1,0,0,4,63,7,3026.67,0
F,Tin,1,0,1,0,5,52,5,0.01,0
F,Tin,1,0,1,0,7,43,5,0.01,0
F,Gold,1,0,0,1,8,64,2,12000,0
F,Silver,1,1,0,0,12,31,9,1100,0
F,Silver,1,1,0,0,11,41,5,1000,0
F,Tin,1,0,1,0,9,45,8,0.01,0
F,Tin,1,0,1,0,9,40,5,0.01,0
F,Gold,1,0,0,1,7,70,2,12000,0
M,Silver,0,1,0,0,10,51,6,1000,0
F,Gold,1,0,0,1,8,52,2,6000,0
F,Tin,1,0,1,0,6,38,9,0.01,1
F,Silver,1,1,0,0,8,43,10,50,0
M,Tin,0,0,1,0,7,37,5,0.01,0
M,Tin,0,0,1,0,7,42,5,0.01,0
F,Silver,1,1,0,0,15,33,7,0.02,1
M,Gold,0,0,0,1,8,54,8,12000,0
F,Silver,1,1,0,0,5,54,2,1000,0
M,Gold,0,0,0,1,9,53,3,6000,0
F,Tin,1,0,1,0,16,37,5,0.01,1
M,Tin,0,0,1,0,3,33,5,0.01,0
F,Tin,1,0,1,0,7,65,8,0.01,0
F,Silver,1,1,0,0,14,39,10,50,1
F,Gold,1,0,0,1,9,42,2,6000,1
M,Silver,0,1,0,0,6,67,8,3000,0
F,Tin,1,0,1,0,11,43,5,0.01,1
F,Silver,1,1,0,0,8,50,9,0.02,0
F,Tin,1,0,1,0,13,58,8,0.01,0
F,Silver,1,1,0,0,7,78,5,1250,0
M,Gold,0,0,0,1,5,79,8,6000,0
F,Silver,1,1,0,0,8,68,8,800,1
F,Silver,1,1,0,0,9,48,8,600,0
M,Silver,0,1,0,0,12,35,5,1500,0
F,Tin,1,0,1,0,9,38,4,0.01,1
M,Gold,0,0,0,1,11,42,5,6041.13,0
M,Silver,0,1,0,0,14,50,4,420.01,0
M,Tin,0,0,1,0,4,63,5,0.01,1
F,Gold,1,0,0,1,9,75,1,6000,0
F,Silver,1,1,0,0,8,50,8,50,0
F,Tin,1,0,1,0,2,58,8,0.01,0
F,Silver,1,1,0,0,8,66,8,500,0
F,Silver,1,1,0,0,6,54,11,50,0
F,Tin,1,0,1,0,7,54,5,0.01,0
F,Tin,1,0,1,0,18,38,6,0.01,1
M,Silver,0,1,0,0,8,55,5,1000,0
M,Tin,0,0,1,0,8,52,4,0.01,0
F,Silver,1,1,0,0,11,59,2,1500,0
M,Silver,0,1,0,0,6,63,2,1000,1
M,Tin,0,0,1,0,15,47,6,0.01,0
F,Tin,1,0,1,0,6,44,8,0.01,0
F,Tin,1,0,1,0,7,39,7,0.01,0
M,Tin,0,0,1,0,8,38,5,0.01,0
F,Tin,1,0,1,0,13,72,8,0.01,0
F,Gold,1,0,0,1,7,66,8,9000,0
F,Gold,1,0,0,1,6,78,5,7500,0
M,Gold,0,0,0,1,9,55,2,5672.31,0
M,Gold,0,0,0,1,7,49,3,10000,0
F,Tin,1,0,1,0,6,45,4,0.01,0
F,Silver,1,1,0,0,5,73,32,600,0
F,Platinum,1,0,0,0,8,71,4,23425,1
F,Gold,1,0,0,1,14,52,5,7017.55,0
F,Gold,1,0,0,1,9,57,7,9052.66,0
M,Gold,0,0,0,1,10,63,4,6053.34,0
M,Tin,0,0,1,0,20,39,8,0.01,1
F,Tin,1,0,1,0,7,35,4,0.01,1
F,Silver,1,1,0,0,8,58,9,1930,0
F,Tin,1,0,1,0,10,40,4,0.01,1
F,Gold,1,0,0,1,9,61,11,12150,0
F,Silver,1,1,0,0,13,70,11,500,0
F,Silver,1,1,0,0,5,70,5,3500,0
F,Gold,1,0,0,1,6,60,4,10000,0
F,Silver,1,1,0,0,14,77,11,4884.25,0
F,Silver,1,1,0,0,10,74,12,4500,0
F,Silver,1,1,0,0,7,67,5,3000,0
M,Gold,0,0,0,1,7,51,11,17000,1
F,Silver,1,1,0,0,18,37,8,50.01,1
F,Gold,1,0,0,1,5,58,22,6000,0
F,Silver,1,1,0,0,6,27,7,5,0
F,Gold,1,0,0,1,9,70,8,6000,0
M,Tin,0,0,1,0,7,51,10,0.01,0
F,Silver,1,1,0,0,10,58,8,3000.01,0
F,Tin,1,0,1,0,10,73,6,0.01,0
F,Silver,1,1,0,0,7,38,4,4500,0
F,Silver,1,1,0,0,7,71,3,2000,1
M,Silver,0,1,0,0,22,50,6,3000,1
F,Silver,1,1,0,0,6,51,27,3500,0
F,Tin,1,0,1,0,10,33,8,0.01,0
F,Gold,1,0,0,1,8,64,4,20000,1
F,Silver,1,1,0,0,9,50,4,5000,0
F,Gold,1,0,0,1,5,41,3,6000,0
M,Tin,0,0,1,0,12,50,7,0.01,1
F,Gold,1,0,0,1,13,54,30,12078.35,0
F,Silver,1,1,0,0,13,45,8,3000,0
M,Silver,0,1,0,0,10,59,2,780,0
M,Silver,0,1,0,0,9,66,9,2000,0
M,Tin,0,0,1,0,5,52,11,0.01,0
M,Gold,0,0,0,1,8,73,6,6000,0
F,Tin,1,0,1,0,9,48,5,0.01,1
F,Tin,1,0,1,0,6,60,5,0.01,0
F,Gold,1,0,0,1,11,56,7,6105.32,0
F,Tin,1,0,1,0,26,31,4,0.01,1
M,Tin,0,0,1,0,9,55,11,0.01,0
M,Silver,0,1,0,0,8,61,6,3250,0
M,Silver,0,1,0,0,9,68,4,4250,0
F,Tin,1,0,1,0,14,47,8,0.01,0
F,Silver,1,1,0,0,3,70,11,3000,0
M,Silver,0,1,0,0,10,40,13,1000,0
M,Tin,0,0,1,0,10,57,4,0.01,0
F,Silver,1,1,0,0,11,54,9,360,0
F,Gold,1,0,0,1,9,44,5,6053.35,0
M,Silver,0,1,0,0,6,57,8,0.02,0
F,Tin,1,0,1,0,13,45,4,0.01,1
F,Tin,1,0,1,0,9,40,6,0.01,1
F,Silver,1,1,0,0,9,22,3,1000,1
M,Silver,0,1,0,0,10,73,27,5000,0
M,Tin,0,0,1,0,5,50,4,0.01,0
F,Silver,1,1,0,0,8,76,3,1000,1
F,Tin,1,0,1,0,7,52,9,0.01,0
F,Gold,1,0,0,1,9,48,2,6000,0
M,Tin,0,0,1,0,9,47,4,0.01,0
F,Silver,1,1,0,0,10,61,3,3000,1
M,Silver,0,1,0,0,8,55,8,4000,0
F,Gold,1,0,0,1,5,76,3,6000,1
M,Silver,0,1,0,0,11,47,11,1200,0
F,Gold,1,0,0,1,12,60,4,9604.34,0
M,Tin,0,0,1,0,8,49,20,0.01,0
F,Gold,1,0,0,1,9,67,5,10000,1
M,Silver,0,1,0,0,4,53,9,1070,0
F,Gold,1,0,0,1,3,59,4,12000,0
M,Gold,0,0,0,1,8,69,8,14400,0
F,Tin,1,0,1,0,7,27,4,0.01,1
M,Silver,0,1,0,0,10,63,7,3000,0
F,Tin,1,0,1,0,18,41,5,0.01,1
F,Silver,1,1,0,0,4,64,9,420,0
M,Gold,0,0,0,1,8,45,2,6000,0
F,Tin,1,0,1,0,10,46,4,0.01,0
F,Tin,1,0,1,0,6,75,9,0.01,0
M,Gold,0,0,0,1,11,62,10,6000,0
M,Gold,0,0,0,1,13,64,8,12000,0
F,Silver,1,1,0,0,11,25,3,3000,1
F,Platinum,1,0,0,0,5,46,9,24878.35,0
F,Gold,1,0,0,1,6,56,1,6000,0
M,Gold,0,0,0,1,6,62,4,18800,0
M,Gold,0,0,0,1,5,77,16,9600,0
F,Tin,1,0,1,0,6,48,5,0.01,0
F,Silver,1,1,0,0,4,29,7,100,1
M,Tin,0,0,1,0,9,63,5,0.01,0
F,Silver,1,1,0,0,12,68,31,2000,0
F,Silver,1,1,0,0,7,36,8,3000.01,1
F,Silver,1,1,0,0,17,43,6,3026.67,1
M,Tin,0,0,1,0,6,57,4,0.01,0
F,Tin,1,0,1,0,6,45,10,0.01,0
F,Tin,1,0,1,0,12,37,5,0.01,1
M,Silver,0,1,0,0,10,44,9,500,0
F,Gold,1,0,0,1,9,51,10,7053.34,0
F,Gold,1,0,0,1,7,62,2,6000,0
F,Silver,1,1,0,0,18,54,9,970.92,1
M,Silver,0,1,0,0,7,57,5,1500,0
M,Gold,0,0,0,1,7,63,5,7500,0
M,Tin,0,0,1,0,3,51,5,0.01,0
M,Gold,0,0,0,1,11,74,8,10000.01,0
M,Silver,0,1,0,0,8,56,5,4000,1
F,Tin,1,0,1,0,4,33,6,0.01,0
F,Silver,1,1,0,0,8,50,5,4800,0
M,Gold,0,0,0,1,7,72,5,6000,0
M,Silver,0,1,0,0,8,28,2,68.22,0
F,Gold,1,0,0,1,9,65,6,6053.35,0
F,Silver,1,1,0,0,10,39,1,600,1
F,Gold,1,0,0,1,11,59,5,10213.66,0
F,Tin,1,0,1,0,11,43,9,0.01,1
M,Tin,0,0,1,0,10,50,5,0.01,0
M,Tin,0,0,1,0,9,55,4,0.01,0
F,Gold,1,0,0,1,12,48,13,6053.35,1
M,Tin,0,0,1,0,8,32,7,0.01,1
F,Tin,1,0,1,0,13,38,8,0.01,1
F,Silver,1,1,0,0,9,39,4,2700,1
M,Gold,0,0,0,1,11,44,3,6000,1
F,Gold,1,0,0,1,11,57,6,9000,1
F,Gold,1,0,0,1,5,34,5,6000,0
F,Tin,1,0,1,0,11,56,6,0.01,1
M,Gold,0,0,0,1,6,69,12,12105.32,0
M,Silver,0,1,0,0,11,53,7,600,0
F,Tin,1,0,1,0,10,33,9,0.01,1
M,Silver,0,1,0,0,6,67,4,1200,0
F,Silver,1,1,0,0,8,74,5,2000,0
F,Gold,1,0,0,1,4,73,20,6500,0
F,Tin,1,0,1,0,16,37,8,0.01,1
F,Silver,1,1,0,0,7,60,10,1324.2,1
F,Gold,1,0,0,1,9,74,12,11605.32,0
F,Tin,1,0,1,0,8,49,8,0.01,0
F,Platinum,1,0,0,0,5,58,9,21000,0
F,Silver,1,1,0,0,8,43,4,1200,0
F,Silver,1,1,0,0,8,78,2,3000,1
F,Gold,1,0,0,1,4,76,6,6000,0
F,Silver,1,1,0,0,15,48,9,500,1
M,Tin,0,0,1,0,7,68,12,0.01,0
M,Platinum,0,0,0,0,7,61,0,28780.41,0
M,Gold,0,0,0,1,10,64,11,5100,0
F,Gold,1,0,0,1,10,62,5,6053.35,0
F,Silver,1,1,0,0,11,35,8,600,1
F,Silver,1,1,0,0,8,35,6,1000,1
M,Tin,0,0,1,0,8,55,8,0.01,0
M,Platinum,0,0,0,0,6,63,6,30131.68,0
F,Tin,1,0,1,0,7,33,9,0.01,0
M,Silver,0,1,0,0,7,50,1,4198,0
M,Silver,0,1,0,0,12,57,4,1000,0
F,Silver,1,1,0,0,11,45,4,720,0
F,Silver,1,1,0,0,6,49,4,920,1
M,Silver,0,1,0,0,9,70,8,3000,0
F,Tin,1,0,1,0,6,39,7,0.01,1
F,Silver,1,1,0,0,9,37,1,420,1
F,Silver,1,1,0,0,8,62,2,3750,0
F,Gold,1,0,0,1,9,59,28,7400,0
M,Silver,0,1,0,0,15,52,5,3000,1
M,Silver,0,1,0,0,9,50,9,1200,0
F,Silver,1,1,0,0,7,35,1,500,1
F,Tin,1,0,1,0,12,39,5,0.01,1
F,Tin,1,0,1,0,19,38,9,0.01,1
F,Tin,1,0,1,0,11,32,5,0.01,0
F,Tin,1,0,1,0,7,30,4,0.01,1
F,Tin,1,0,1,0,10,59,10,0.01,1
M,Silver,0,1,0,0,14,53,5,480,1
F,Tin,1,0,1,0,12,53,5,0.01,0
F,Tin,1,0,1,0,13,53,8,0.01,1
M,Tin,0,0,1,0,7,48,7,0.01,0
F,Tin,1,0,1,0,11,61,5,0.01,1
F,Silver,1,1,0,0,14,76,9,500,1
F,Tin,1,0,1,0,11,44,5,0.01,1
F,Platinum,1,0,0,0,9,39,1,30649.41,1
F,Tin,1,0,1,0,6,35,5,0.01,0
F,Gold,1,0,0,1,11,63,12,19000,0
F,Gold,1,0,0,1,11,62,2,12000,0
F,Tin,1,0,1,0,9,50,8,0.01,0
F,Tin,1,0,1,0,12,34,4,0.01,1
F,Silver,1,1,0,0,22,30,4,1750,1
F,Tin,1,0,1,0,10,44,8,0.01,0
M,Tin,0,0,1,0,7,40,4,0.01,0
F,Silver,1,1,0,0,11,25,1,2400,1
M,Silver,0,1,0,0,5,57,4,3000,0
F,Silver,1,1,0,0,7,23,5,1000,1
M,Tin,0,0,1,0,10,35,8,0.01,1
F,Tin,1,0,1,0,12,33,8,0.01,1
F,Silver,1,1,0,0,9,46,2,5000,0
F,Tin,1,0,1,0,12,43,9,0.01,1
F,Tin,1,0,1,0,14,35,4,0.01,1
M,Silver,0,1,0,0,7,54,11,4500,0
F,Silver,1,1,0,0,13,66,5,2000,1
F,Tin,1,0,1,0,16,37,8,0.01,1
M,Silver,0,1,0,0,3,58,2,3000,0
M,Tin,0,0,1,0,10,49,8,0.01,0
F,Tin,1,0,1,0,8,36,8,0.01,1
F,Silver,1,1,0,0,10,54,5,2000,1
M,Tin,0,0,1,0,8,55,9,0.01,0
F,Platinum,1,0,0,0,7,72,8,26053.35,0
M,Tin,0,0,1,0,7,40,4,0.01,0
F,Tin,1,0,1,0,3,55,5,0.01,0
F,Tin,1,0,1,0,10,63,8,0.01,0
M,Platinum,0,0,0,0,14,70,3,20294.5,0
F,Gold,1,0,0,1,12,49,3,14000,0
M,Platinum,0,0,0,0,12,70,24,29374.72,1
F,Gold,1,0,0,1,3,77,4,15053.82,0
M,Gold,0,0,0,1,6,63,13,18000,0
F,Gold,1,0,0,1,6,68,5,19411.22,0
F,Silver,1,1,0,0,5,68,9,1500,0
M,Tin,0,0,1,0,7,49,5,0.01,0
M,Silver,0,1,0,0,7,73,4,2000,1
F,Gold,1,0,0,1,10,59,2,6000,1
F,Gold,1,0,0,1,11,67,2,6000,1
F,Gold,1,0,0,1,10,56,1,9000,0
F,Platinum,1,0,0,0,7,56,3,20383.7,0
F,Silver,1,1,0,0,9,69,18,5000,0
M,Gold,0,0,0,1,8,75,2,8000,0
M,Tin,0,0,1,0,13,42,5,0.01,1
M,Silver,0,1,0,0,6,50,6,1000,0
M,Tin,0,0,1,0,7,51,5,0.01,0
F,Gold,1,0,0,1,12,25,2,6000,1
F,Silver,1,1,0,0,10,50,8,3000,0
F,Silver,1,1,0,0,9,64,7,300,1
F,Gold,1,0,0,1,15,61,4,7500,0
M,Gold,0,0,0,1,11,67,2,9000,0
M,Tin,0,0,1,0,10,37,7,0.01,0
F,Silver,1,1,0,0,9,55,4,2000,0
F,Silver,1,1,0,0,10,67,8,3000,0
F,Tin,1,0,1,0,12,43,5,0.01,0
F,Gold,1,0,0,1,5,45,3,19465.7,0
F,Platinum,1,0,0,0,12,75,23,24106.7,1
M,Silver,0,1,0,0,5,52,1,100,0
F,Tin,1,0,1,0,7,61,6,0.01,0
F,Gold,1,0,0,1,8,63,6,7000,0
F,Tin,1,0,1,0,4,42,5,0.01,0
F,Gold,1,0,0,1,15,53,3,6000,0
F,Silver,1,1,0,0,7,56,5,0.02,0
M,Tin,0,0,1,0,2,40,5,0.01,0
F,Tin,1,0,1,0,5,35,5,0.01,0
M,Silver,0,1,0,0,7,53,8,2460.01,0
F,Tin,1,0,1,0,6,35,6,0.01,0
F,Gold,1,0,0,1,3,38,5,5192.69,0
F,Silver,1,1,0,0,8,29,4,1500,1
M,Silver,0,1,0,0,13,43,11,50,0
F,Silver,1,1,0,0,6,70,9,1000,1
F,Silver,1,1,0,0,12,65,4,2215.4,1
F,Tin,1,0,1,0,13,57,9,0.01,0
F,Silver,1,1,0,0,6,73,7,600,0
F,Gold,1,0,0,1,9,41,6,12000,0
F,Gold,1,0,0,1,11,64,4,6000,0
F,Tin,1,0,1,0,7,43,5,0.01,1
F,Silver,1,1,0,0,6,32,10,3050,1
F,Gold,1,0,0,1,2,58,12,6550,0
F,Gold,1,0,0,1,6,70,8,6000,0
M,Silver,0,1,0,0,16,60,2,3000,0
M,Tin,0,0,1,0,11,49,10,0.01,0
F,Gold,1,0,0,1,5,62,5,6000,0
F,Silver,1,1,0,0,6,49,10,1608,0
F,Silver,1,1,0,0,7,59,4,5000,0
M,Silver,0,1,0,0,8,53,5,1000,0
M,Tin,0,0,1,0,9,32,5,0.01,1
F,Tin,1,0,1,0,8,37,5,0.01,1
F,Silver,1,1,0,0,20,62,4,1600,1
F,Silver,1,1,0,0,6,32,5,0.02,1
F,Silver,1,1,0,0,11,79,16,5000,0
F,Gold,1,0,0,1,12,37,5,6000.01,1
F,Gold,1,0,0,1,8,62,5,13500,0
F,Silver,1,1,0,0,8,68,5,2200,0
F,Gold,1,0,0,1,9,51,4,6001.74,0
F,Silver,1,1,0,0,13,39,2,1500,1
F,Gold,1,0,0,1,6,55,29,7000,1
F,Silver,1,1,0,0,3,57,6,2500,0
F,Silver,1,1,0,0,12,50,9,600,1
M,Tin,0,0,1,0,9,36,4,0.01,1
M,Gold,0,0,0,1,7,51,2,6000,0
M,Gold,0,0,0,1,7,67,8,12000,0
M,Platinum,0,0,0,0,13,68,3,20364.36,0
F,Silver,1,1,0,0,16,47,8,2790,1
F,Tin,1,0,1,0,6,44,5,0.01,0
M,Silver,0,1,0,0,7,29,8,360,1
M,Silver,0,1,0,0,6,61,4,900,0
F,Tin,1,0,1,0,7,69,9,0.01,0
F,Silver,1,1,0,0,8,70,15,3000.01,0
F,Tin,1,0,1,0,5,43,5,0.01,1
F,Gold,1,0,0,1,6,77,3,6000,0
F,Silver,1,1,0,0,25,36,5,2000,1
F,Gold,1,0,0,1,8,38,6,12035.57,1
M,Silver,0,1,0,0,15,58,10,100,0
F,Tin,1,0,1,0,7,46,18,0.01,0
M,Silver,0,1,0,0,11,63,1,4000,0
F,Tin,1,0,1,0,4,75,8,0.01,0
F,Tin,1,0,1,0,7,54,7,0.01,1
F,Tin,1,0,1,0,15,44,4,0.01,1
M,Gold,0,0,0,1,12,65,10,12100,0
F,Silver,1,1,0,0,6,46,1,3000,0
F,Gold,1,0,0,1,8,67,7,6000,1
F,Gold,1,0,0,1,7,45,9,6000,0
M,Silver,0,1,0,0,5,36,8,50.01,0
F,Gold,1,0,0,1,9,27,3,10000,0
M,Gold,0,0,0,1,8,46,2,6000,0
F,Tin,1,0,1,0,7,37,10,0.01,0
F,Gold,1,0,0,1,6,78,21,6000,0
M,Silver,0,1,0,0,4,79,1,2007.95,0
F,Silver,1,1,0,0,7,55,5,2000,0
F,Silver,1,1,0,0,10,55,9,1020,0
F,Silver,1,1,0,0,8,52,5,3000,0
F,Gold,1,0,0,1,8,75,4,15000,0
F,Silver,1,1,0,0,6,44,1,2000,1
F,Silver,1,1,0,0,10,36,4,1100,1
M,Silver,0,1,0,0,6,64,14,3000,0
